FileLocation : <URL> or <Server_Location> File data has to be related to vcf/gvcf/bam/fastq or corresponding index files.
#FileType : VCF,VCF INDEX,gVCF,gVCF INDEX,BAM,BAM INDEX,CRAM,CRAM INDEX,FASTQ,FASTQ F,FASTQ R <only these types are allowed>
#Description : Additional details to describe the entry.
#AssemblyType/ReferenceBuild : hg19/hg38/GRCh37/GRCh38 <only these 5 values are allowed> na is allowed only if the FileType belongs to FASTQ,FASTQ F,FASTQ R
#SampleLocalID: DNA number. Remark : In this release we support only 1 Unique sample local ID for an Individual<String>
#IndLocalID: Semi anonymous ID<String>
#SampleType:Research/Diagnostics <only these 2 types allowed>
#SequenceMachine:Provide test if you are not sure of the sequence machine <String>
#SeqKitModel:Provide testModel if you are not sure of the sequence kit model <check the model mentioned in UI>
#SequencingCoverage: <integer>
#SequenceType:WES/WGS/PANEL <only these 3 types allowed/not case-sensitive>
#ReadLength: <Numeric>
#DateOfSequencing:<YYYY/MM/DD> <Date_Validation>
#PanelTypeName : Panel name has to be provided if Sequence Type is Panel<only these types are allowed>
#IndividualGender:Male/Female/Unknown
#########################################################################################################################################################
# Optional Fields are listed below : 
#IndividualFName:First Name of Individual <char>
#IndividualLName:Last Name of Individual <char>
#IndividualBirthDate: <YYYY/MM/DD> <Date_Validation>
##########################################################################################################################################################
#Example Entry : TestPI,/datafiles/genomes/sample_name-12378.vcf.gz,vcf,sample description,hg19,deafness_lab2,christo_lab1,Research,test,testModel,40,WGS,39,2012/03/12,,,,Female,
###############################
#PIName,FileLocation,FileType,Description,AssemblyType,SampleLocalID,IndLocalID,SampleType,SequenceMachine,SeqKitModel,SequencingCoverage,SequenceType,ReadLength,DateOfSequencing,PanelTypeName,IndividualFName,IndividualLName,IndividualGender,IndividualBirthDate
#Please enter the values below in csv format
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00159.vcf.gz,SV_VCF,Genome public samples,hg38,HG00159,HG00159,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00171.vcf.gz,SV_VCF,Genome public samples,hg38,HG00171,HG00171,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00173.vcf.gz,SV_VCF,Genome public samples,hg38,HG00173,HG00173,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00188.vcf.gz,SV_VCF,Genome public samples,hg38,HG00188,HG00188,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00190.vcf.gz,SV_VCF,Genome public samples,hg38,HG00190,HG00190,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00235.vcf.gz,SV_VCF,Genome public samples,hg38,HG00235,HG00235,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00242.vcf.gz,SV_VCF,Genome public samples,hg38,HG00242,HG00242,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00243.vcf.gz,SV_VCF,Genome public samples,hg38,HG00243,HG00243,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00247.vcf.gz,SV_VCF,Genome public samples,hg38,HG00247,HG00247,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00252.vcf.gz,SV_VCF,Genome public samples,hg38,HG00252,HG00252,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00254.vcf.gz,SV_VCF,Genome public samples,hg38,HG00254,HG00254,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00255.vcf.gz,SV_VCF,Genome public samples,hg38,HG00255,HG00255,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00258.vcf.gz,SV_VCF,Genome public samples,hg38,HG00258,HG00258,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00261.vcf.gz,SV_VCF,Genome public samples,hg38,HG00261,HG00261,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00268.vcf.gz,SV_VCF,Genome public samples,hg38,HG00268,HG00268,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00269.vcf.gz,SV_VCF,Genome public samples,hg38,HG00269,HG00269,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00271.vcf.gz,SV_VCF,Genome public samples,hg38,HG00271,HG00271,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00273.vcf.gz,SV_VCF,Genome public samples,hg38,HG00273,HG00273,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00274.vcf.gz,SV_VCF,Genome public samples,hg38,HG00274,HG00274,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00278.vcf.gz,SV_VCF,Genome public samples,hg38,HG00278,HG00278,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00282.vcf.gz,SV_VCF,Genome public samples,hg38,HG00282,HG00282,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00284.vcf.gz,SV_VCF,Genome public samples,hg38,HG00284,HG00284,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00311.vcf.gz,SV_VCF,Genome public samples,hg38,HG00311,HG00311,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00312.vcf.gz,SV_VCF,Genome public samples,hg38,HG00312,HG00312,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00313.vcf.gz,SV_VCF,Genome public samples,hg38,HG00313,HG00313,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00315.vcf.gz,SV_VCF,Genome public samples,hg38,HG00315,HG00315,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00321.vcf.gz,SV_VCF,Genome public samples,hg38,HG00321,HG00321,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00323.vcf.gz,SV_VCF,Genome public samples,hg38,HG00323,HG00323,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00324.vcf.gz,SV_VCF,Genome public samples,hg38,HG00324,HG00324,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00325.vcf.gz,SV_VCF,Genome public samples,hg38,HG00325,HG00325,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00334.vcf.gz,SV_VCF,Genome public samples,hg38,HG00334,HG00334,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00335.vcf.gz,SV_VCF,Genome public samples,hg38,HG00335,HG00335,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00336.vcf.gz,SV_VCF,Genome public samples,hg38,HG00336,HG00336,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00338.vcf.gz,SV_VCF,Genome public samples,hg38,HG00338,HG00338,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00342.vcf.gz,SV_VCF,Genome public samples,hg38,HG00342,HG00342,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00346.vcf.gz,SV_VCF,Genome public samples,hg38,HG00346,HG00346,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00349.vcf.gz,SV_VCF,Genome public samples,hg38,HG00349,HG00349,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00357.vcf.gz,SV_VCF,Genome public samples,hg38,HG00357,HG00357,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00360.vcf.gz,SV_VCF,Genome public samples,hg38,HG00360,HG00360,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00361.vcf.gz,SV_VCF,Genome public samples,hg38,HG00361,HG00361,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00365.vcf.gz,SV_VCF,Genome public samples,hg38,HG00365,HG00365,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00367.vcf.gz,SV_VCF,Genome public samples,hg38,HG00367,HG00367,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00368.vcf.gz,SV_VCF,Genome public samples,hg38,HG00368,HG00368,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00377.vcf.gz,SV_VCF,Genome public samples,hg38,HG00377,HG00377,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00378.vcf.gz,SV_VCF,Genome public samples,hg38,HG00378,HG00378,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00381.vcf.gz,SV_VCF,Genome public samples,hg38,HG00381,HG00381,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00404.vcf.gz,SV_VCF,Genome public samples,hg38,HG00404,HG00404,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00407.vcf.gz,SV_VCF,Genome public samples,hg38,HG00407,HG00407,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00409.vcf.gz,SV_VCF,Genome public samples,hg38,HG00409,HG00409,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00418.vcf.gz,SV_VCF,Genome public samples,hg38,HG00418,HG00418,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00419.vcf.gz,SV_VCF,Genome public samples,hg38,HG00419,HG00419,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00420.vcf.gz,SV_VCF,Genome public samples,hg38,HG00420,HG00420,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00427.vcf.gz,SV_VCF,Genome public samples,hg38,HG00427,HG00427,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00436.vcf.gz,SV_VCF,Genome public samples,hg38,HG00436,HG00436,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00442.vcf.gz,SV_VCF,Genome public samples,hg38,HG00442,HG00442,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00443.vcf.gz,SV_VCF,Genome public samples,hg38,HG00443,HG00443,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00446.vcf.gz,SV_VCF,Genome public samples,hg38,HG00446,HG00446,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00449.vcf.gz,SV_VCF,Genome public samples,hg38,HG00449,HG00449,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00452.vcf.gz,SV_VCF,Genome public samples,hg38,HG00452,HG00452,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00464.vcf.gz,SV_VCF,Genome public samples,hg38,HG00464,HG00464,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00472.vcf.gz,SV_VCF,Genome public samples,hg38,HG00472,HG00472,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00475.vcf.gz,SV_VCF,Genome public samples,hg38,HG00475,HG00475,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
Geert Vandeweyer,/public_genomes/sv_1000G/all.sniffles.hg38.1kGP.ont.7Aug2023.HG00479.vcf.gz,SV_VCF,Genome public samples,hg38,HG00479,HG00479,Research,ONT,testModel,30,WGS,25000,2024/03/28,,fname,lname,Unknown,
